" Copy", " Копіювати"
"The ""%1"" product couldn't be removed.","Продукт ""%1"" не вдалося видалити."
"The ""%1"" product is not part of the current creditmemo.","Продукт ""%1"" не є частиною поточного кредитного меморандуму."
"The ""%1"""" is not allowed as base currency for your subscription plan.""","""%1"" не дозволено як базову валюту для вашого плану підписки."
"The ""test/test/test"" path does not exists","Шлях ""test/test/test"" не існує"
"The %1 value wasn't found in the algorithms.","Значення %1 не знайдено в алгоритмах."
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","%templateName містить неправильну конфігурацію. Шаблон має посилання на себе. Видаліть або змініть посилання."
"The Billing Agreement status is not set.","Статус платіжної угоди не встановлено."
"The BuyRequest instance in options group is incorrect.","Екземпляр BuyRequest у групі опцій неправильний."
"The CSS file must be less than %1M.","Файл CSS має бути меншим за %1 Мб."
"The Date of Birth should not be greater than today.","Дата народження не повинна бути більшою за сьогоднішню."
"The Default Source can not be used for In-Store Pickup Delivery.","Джерело за замовчуванням не можна використовувати для доставки самовивозом з магазину."
"The Default Source can not be used for In-Store Pickup delivery.","Джерело за замовчуванням не можна використовувати для доставки самовивозом з магазину."
"The Default Source must be enabled. A default source is required for single source merchants and product migration.","Джерело за замовчуванням має бути включено. Джерело за замовчуванням потрібне для продавців з одним джерелом та міграції продуктів."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Модуль Flat Catalog має обмеження у %2$d фільтрованих та/або сортовних атрибутів. Наразі їх %1$d. Будь ласка, зменшіть кількість фільтрованих/сортовних атрибутів, щоб використовувати цей модуль"
"The JS file must be less than %1M.","Файл JS має бути меншим за %1 Мб."
"The JavaScript/CSS cache has been cleaned.","Кеш JavaScript/CSS очищено."
"The Magento cache storage has been flushed.","Сховище кешу Magento очищено."
"The Order State ""%1"" must not be set manually.","Стан замовлення ""%1"" не повинен встановлюватися вручну."
"The Order Updated report is created in real time and does not require a refresh.","Звіт про оновлення замовлення створюється в реальному часі і не потребує оновлення."
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","Модель загальної суми PDF %1 має бути або розширювати \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"The PayPal certificate does not exist.","Сертифікат PayPal не існує."
"The PayPal certificate file is empty.","Файл сертифіката PayPal порожній."
"The PayPal gateway rejected the request. %1","Шлюз PayPal відхилив запит. %1"
"The Product with the ""%1"" SKU doesn't exist.","Продукт з SKU ""%1"" не існує."
"The ProductSku is empty. Set the ProductSku and try again.","ProductSku порожній. Встановіть ProductSku та спробуйте ще раз."
"The Rate Percent should be a positive number.","Відсоток ставки має бути позитивним числом."
"The Source does not exist.","Джерело не існує."
"The Source has been saved.","Джерело збережено."
"The Stock does not exist.","Запас не існує."
"The Stock has been deleted.","Запас видалено."
"The Stock has been saved.","Запас збережено."
"The Store View selected for sending Welcome email from is not related to the customer's associated website.","Вигляд магазину, обраний для відправки вітального листа, не пов'язаний із веб-сайтом, пов'язаним із клієнтом."
"The URL Rewrite has been saved.","URL Rewrite збережено."
"The URL key should consist of lowercase characters with hyphens to separate words.","URL-ключ має складатися з малих літер з дефісами для відокремлення слів."
"The VAT ID entered (%1) is not a valid VAT ID.","Введений ідентифікатор ПДВ (%1) не є дійсним."
"The VAT ID entered (%s) is not a valid VAT ID.","Введений ідентифікатор ПДВ (%s) не є дійсним."
"The VAT ID is valid but no Customer Group is assigned for it.","Ідентифікатор ПДВ дійсний, але для нього не призначено групу клієнтів."
"The VAT ID is valid.","Ідентифікатор ПДВ дійсний."
"The VAT ID is valid. The current Customer Group will be used.","Ідентифікатор ПДВ дійсний. Буде використана поточна група клієнтів."
"The account is locked.","Обліковий запис заблоковано."
"The account is locked. Please wait and try again or contact %1.","Обліковий запис заблоковано. Зачекайте і спробуйте ще раз або зв'яжіться з %1."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Вхід в обліковий запис був неправильним, або ваш обліковий запис тимчасово вимкнено. Зачекайте і спробуйте пізніше."
"The account this API request is coming from is inactive.","Обліковий запис, з якого надходить цей запит API, неактивний."
"The adapter object must be an instance of %1.","Об'єкт адаптера має бути екземпляром %1."
"The adapter type must be a non-empty string.","Тип адаптера має бути непустим рядком."
"The address model is not defined.","Модель адреси не визначена."
"The address total model should be extended from","Модель загальної адреси має бути розширена від"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Архів можна розпакувати за допомогою <a href=""%1"">%2</a> у системах Windows."
"The attribute can't be saved.","Атрибут не можна зберегти."
"The attribute code '%1' is reserved by system. Please try another attribute code","Код атрибута '%1' зарезервовано системою. Будь ласка, спробуйте інший код атрибута"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","Не вдалося зберегти атрибут через помилку. Перевірте вашу інформацію та спробуйте ще раз. Якщо помилка повторюється, будь ласка, спробуйте пізніше."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","Не вдалося перевірити атрибут через помилку. Перевірте вашу інформацію та спробуйте ще раз. Якщо помилка повторюється, будь ласка, спробуйте пізніше."
"The attribute group can't be deleted because it contains system attributes.","Групу атрибутів не можна видалити, оскільки вона містить системні атрибути."
"The attribute model is not defined.","Модель атрибута не визначена."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","Набір атрибутів не вдалося створити, оскільки він заснований на неіснуючому наборі атрибутів."
"The attribute set couldn't be created because it's based on a non-product attribute set.","Набір атрибутів не вдалося створити, оскільки він заснований на наборі атрибутів, що не є продуктом."
"The attribute set has been removed.","Набір атрибутів видалено."
"The authorize action is not available.","Дія авторизації недоступна."
"The authorized amount is %1.","Авторизована сума становить %1."
"The backup file ""%1"" does not exist.","Файл резервної копії ""%1"" не існує."
"The backup file does not exist.","Файл резервної копії не існує."
"The backup file handler was unspecified.","Обробник файлу резервної копії не вказано."
"The backup file path was not specified.","Шлях до файлу резервної копії не вказано."
"The base directory to upload file is not specified.","Базовий каталог для завантаження файлу не вказано."
"The behavior token for %1 is invalid.","Токен поведінки для %1 недійсний."
"The billing agreement ""%1"" has been canceled.","Платіжну угоду ""%1"" скасовано."
"The billing agreement ""%1"" has been created.","Платіжну угоду ""%1"" створено."
"The cache storage may contain additional data. Are you sure that you want to flush it?","Сховище кешу може містити додаткові дані. Ви впевнені, що хочете його очистити?"
"The capture action is not available.","Дія захоплення недоступна."
"The card has active subscriptions","Картка має активні підписки"
"The card security code is a three or four digit number printed on a credit card. Visa, Mastercard, and Discover cards have a three digit code on the card back. American Express cards have a four digit code on the card front.","Код безпеки картки — це три- або чотиризначне число, надруковане на кредитній картці. Картки Visa, Mastercard та Discover мають тризначний код на звороті картки. Картки American Express мають чотиризначний код на лицьовій стороні картки."
"The cart doesn't contain the item","Кошик не містить елемент"
"The cart is locked for processing. Please try again later.","Кошик заблоковано для обробки. Будь ласка, спробуйте пізніше."
"The category doesn't contain the specified product.","Категорія не містить вказаний продукт."
"The category doesn't contain the specified products.","Категорія не містить вказані продукти."
"The category you chose is not associated with the selected store.","Обрана вами категорія не пов'язана з обраним магазином."
"The class for ""%1"" type wasn't declared. Enter the class and try again.","Клас для типу ""%1"" не оголошено. Введіть клас та спробуйте ще раз."
"The collection provider isn't registered.","Постачальник колекції не зареєстрований."
"The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration.","Файл конфігурації змінився. Запустіть команду app:config:import або setup:upgrade, щоб синхронізувати конфігурацію."
"The configuration item instance in options group is incorrect.","Екземпляр елемента конфігурації в групі опцій неправильний."
"The configuration item option instance in options group is incorrect.","Екземпляр опції елемента конфігурації в групі опцій неправильний."
"The configuration parameter ""formElement"" is a required for ""%1"" field.","Параметр конфігурації ""formElement"" є обов'язковим для поля ""%1""."
"The coupon code ""%1"" is not valid.","Купонний код ""%1"" недійсний."
"The coupon code has been accepted.","Купонний код прийнято."
"The coupon code has been removed.","Купонний код видалено."
"The credit card number doesn't match the credit card type.","Номер кредитної картки не відповідає типу кредитної картки."
"The credit memo confirmation email is not sent","Лист підтвердження кредитного меморандуму не відправлено"
"The credit memo confirmation email was sent","Лист підтвердження кредитного меморандуму відправлено"
"The credit memo email was sent.","Лист кредитного меморандуму відправлено."
"The credit memo email wasn't sent.","Лист кредитного меморандуму не було відправлено."
"The credit memo has been canceled.","Кредитний меморандум скасовано."
"The credit memo has been created automatically.","Кредитний меморандум створено автоматично."
"The credit memo's total must be positive.","Загальна сума кредитного меморандуму має бути позитивною."
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","Кредитний меморандум містить SKU продукту ""%1"", який не є частиною оригінального замовлення."
"The creditmemo contains product item that is not part of the original order.","Кредитний меморандум містить елемент продукту, який не є частиною оригінального замовлення."
"The current cart does not match multi shipping criteria, please review or contact the store administrator","Поточний кошик не відповідає критеріям багатоадресної доставки, будь ласка, перевірте або зв'яжіться з адміністратором магазину"
"The current module EAV entity is undefined.","EAV-сутність поточного модуля не визначена."
"The current module pathname is undefined.","Шлях поточного модуля не визначено."
"The currently selected block does not exist.","Обраний блок не існує."
"The custom option couldn't be removed.","Спеціальну опцію не вдалося видалити."
"The customer ID is not set.","ID клієнта не встановлено."
"The customer address is not valid.","Адреса клієнта недійсна."
"The customer does not have default billing address.","У клієнта немає адреси для виставлення рахунків за замовчуванням."
"The customer group no longer exists.","Група клієнтів більше не існує."
"The customer has been notified and shipment created.","Клієнта було повідомлено, і відправлення створено."
"The customer is now assigned to Customer Group %s.","Клієнта зараз приєднано до Групи клієнтів %s."
"The customer was redirected to Paytrail.","Клієнта було перенаправлено до Paytrail."
"The customer will receive an email with a link to reset password.","Клієнт отримає електронного листа з посиланням для скидання пароля."
"The customer would belong to Customer Group %s.","Клієнт належатиме до Групи клієнтів %s."
"The data was invalid. Verify the data and try again.","Дані були недійсними. Перевірте дані та спробуйте ще раз."
"The database was backed up.","Базу даних було резервно скопійовано."
"The date is not within the specified range.","Дата не входить у вказаний діапазон."
"The date range for this design change overlaps another design change for the specified store.","Діапазон дат для цієї зміни дизайну перекривається з іншою зміною дизайну для вказаного магазину."
"The default date is invalid.","Типова дата є недійсною."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Типова кількість дочірніх авторизацій у вашому обліковому записі PayPal — 1. Для здійснення кількох авторизацій зверніться до PayPal із запитом щодо збільшення."
"The default store cannot be disabled","Типовий магазин не можна вимкнути"
"The destination directory is not writable.","Директорія призначення не доступна для запису."
"The destination file path must be a string.","Шлях до файлу призначення має бути рядком."
"The directory %1 is not writable by server.","Сервер не може записувати в директорію %1."
"The email template is currently being used.","Цей шаблон листа зараз використовується."
"The encryption key has been changed.","Ключ шифрування було змінено."
"The encryption key is used to protect passwords and other sensitive data.","Ключ шифрування використовується для захисту паролів та інших конфіденційних даних."
"The entity adapter object must be an instance of %1 or %2.","Об'єкт адаптера сутності має бути екземпляром %1 або %2."
"The entity instance is not defined.","Екземпляр сутності не визначено."
"The export is finished.","Експорт завершено."
"The fewest you may purchase is %1","Мінімальна кількість для покупки — %1"
"The fewest you may purchase is %1.","Мінімальна кількість для покупки — %1."
"The field isn't complete.","Поле заповнено не повністю."
"The file ""%1"" is empty. Select another file and try again.","Файл ""%1"" порожній. Виберіть інший файл і спробуйте ще раз."
"The file '%1' for '%2' has an invalid extension.","Файл '%1' для '%2' має неприпустиме розширення."
"The file '%1' is invalid. Please choose another one","Файл '%1' є недійсним. Виберіть інший"
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Завантажений вами файл '%1' перевищує дозволений сервером розмір у %2 мегабайт."
"The file is empty. Select another file and try again.","Файл порожній. Виберіть інший файл і спробуйте ще раз."
"The file is valid, but we can't import it for some reason.","Файл дійсний, але ми не можемо його імпортувати з певної причини."
"The file options format is invalid. Use a correct format and try again.","Формат параметрів файлу недійсний. Використовуйте правильний формат і спробуйте ще раз."
"The file upload failed. Try to upload again.","Не вдалося завантажити файл. Спробуйте завантажити ще раз."
"The file upload field is disabled.","Поле завантаження файлу вимкнено."
"The file was not uploaded.","Файл не було завантажено."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","Файл був занадто великим, і його не вдалося завантажити. Використовуйте файл менший ніж %1 МБ і спробуйте завантажити ще раз."
"The file you uploaded has no extension.","Завантажений вами файл не має розширення."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Файл, який ви завантажуєте, перевищує обмеження сервера на розмір у %1 кілобайт."
"The filter must be an object. Please set the correct filter.","Фільтр має бути об'єктом. Встановіть правильний фільтр."
"The filters are invalid. Set them in an array and try again.","Фільтри недійсні. Встановіть їх у масиві та спробуйте ще раз."
"The following stores are not associated with a root category: ' . . '. For the store to be displayed in the storefront, it must be associated with a root category.","Наступні магазини не пов'язані з кореневою категорією: ' . . '. Щоб магазин відображався у вітрині, він має бути пов'язаний із кореневою категорією."
"The form code is not defined.","Код форми не визначено."
"The generated key will be displayed after changing.","Згенерований ключ буде показано після зміни."
"The group price couldn't be saved.","Не вдалося зберегти групову ціну."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","Групи з ID ""%1"" не існує. Перевірте ID і спробуйте ще раз."
"The header column names are already set.","Назви стовпців заголовка вже встановлено."
"The image cache was cleaned.","Кеш зображень було очищено."
"The image cannot be removed as it has been assigned to the other image role","Зображення не можна видалити, оскільки воно призначено для іншої ролі"
"The image content is invalid. Verify the content and try again.","Вміст зображення недійсний. Перевірте вміст і спробуйте ще раз."
"The image doesn't exist.","Зображення не існує."
"The image doesn't exist. Verify and try again.","Зображення не існує. Перевірте і спробуйте ще раз."
"The image type for the file is invalid. Enter the correct image type and try again.","Тип зображення для файлу недійсний. Введіть правильний тип зображення та спробуйте ще раз."
"The import was not successful.","Імпорт не був успішним."
"The import was successful.","Імпорт був успішним."
"The information in this tab has been changed.","Інформацію на цій вкладці було змінено."
"The input entity code is not equal to entity adapter code.","Вхідний код сутності не дорівнює коду адаптера сутності."
"The installment feature is available only in these locales: en_MX, es_MX, en_BR, pt_BR.","Функція оплати частинами доступна лише для таких локалей: en_MX, es_MX, en_BR, pt_BR."
"The integration '%1' has been activated.","Інтеграцію '%1' було активовано."
"The integration '%1' has been deleted.","Інтеграцію '%1' було видалено."
"The integration '%1' has been re-authorized.","Інтеграцію '%1' було повторно авторизовано."
"The integration '%1' has been saved.","Інтеграцію '%1' було збережено."
"The integration was not saved.","Інтеграцію не збережено."
"The integration you selected asks you to approve access to the following:","Обрана вами інтеграція запитує дозвіл на доступ до наступного:"
"The invoice confirmation email is not sent","Лист з підтвердженням рахунку не надіслано"
"The invoice confirmation email was sent","Лист з підтвердженням рахунку надіслано"
"The invoice contains one or more items that are not part of the original order.","Рахунок містить один або кілька елементів, яких немає у вихідному замовленні."
"The invoice email was sent.","Лист з рахунком було надіслано."
"The invoice email wasn't sent.","Лист з рахунком не було надіслано."
"The invoice has been captured.","Рахунок було захоплено."
"The invoice has been created.","Рахунок було створено."
"The invoice has been voided.","Рахунок було анульовано."
"The invoice will be created offline without the payment gateway.","Рахунок буде створено офлайн без використання платіжного шлюзу."
"The last status can't be unassigned from its current state.","Останній статус не можна зняти з поточного стану."
"The link has expired.","Термін дії посилання закінчився."
"The link is not available.","Посилання недоступне."
"The linked product SKU is invalid. Verify the data and try again.","SKU пов'язаного товару недійсний. Перевірте дані та спробуйте ще раз."
"The linked products data is invalid. Verify the data and try again.","Дані пов'язаних товарів недійсні. Перевірте дані та спробуйте ще раз."
"The linked products data is invalid. Verify the data and try again.","Дані пов'язаних товарів недійсні. Перевірте їх і спробуйте ще раз."
"The maximum allowed image size for '%1' is %2x%3 px.","Максимальний розмір зображення для '%1' — %2x%3 px."
"The maximum number of child authorizations is reached.","Досягнуто максимально дозволену кількість дочірніх авторизацій."
"The merchant account is not yet verified.","Обліковий запис продавця ще не підтверджено."
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","Продавець має неамериканський рахунок і не може здійснювати виведення коштів."
"The message has been marked as Read.","Повідомлення позначено як прочитане."
"The message has been removed.","Повідомлення видалено."
"The most money available to refund is %1.","Максимальна сума для повернення — %1."
"The most you may purchase is %1.","Максимальна кількість для покупки — %1."
"The new media gallery entry failed to save.","Не вдалося зберегти новий запис у медіа-галереї."
"The newsletter template has been deleted.","Шаблон розсилки видалено."
"The newsletter template has been saved.","Шаблон розсилки збережено."
"The nonce is already being used by the consumer with ID %1","Одноразовий номер (nonce) вже використовується користувачем з ID %1"
"The option instance type in options group is incorrect.","Тип екземпляра опції в групі опцій неправильний."
"The option type to get group instance is incorrect.","Тип опції для отримання екземпляра групи неправильний."
"The options you selected are not available.","Вибрані вами опції недоступні."
"The order action is not available.","Дія замовлення недоступна."
"The order amount of %1 is pending approval on the payment gateway.","Сума замовлення %1 очікує підтвердження на платіжному шлюзі."
"The order confirmation email is not sent","Лист з підтвердженням замовлення не надіслано."
"The order confirmation email was sent","Лист з підтвердженням замовлення надіслано."
"The order does not allow a creditmemo to be created.","Замовлення не дозволяє створити кредит-ноту."
"The order does not allow a shipment to be created.","Замовлення не дозволяє створити відправлення."
"The order does not allow an invoice to be created.","Замовлення не дозволяє створити рахунок-фактуру."
"The order is not ready for pickup","Замовлення не готове до отримання."
"The order no longer exists.","Замовлення більше не існує."
"The order object is not specified.","Об'єкт замовлення не вказано."
"The order was not on hold.","Замовлення не було призупинено."
"The order was not successful!","Замовлення не виконано успішно!"
"The order was placed using %1.","Замовлення розміщено за допомогою %1."
"The ordering amount of %1 is pending approval on the payment gateway.","Сума замовлення %1 очікує підтвердження на платіжному шлюзі."
"The page URL key cannot be made of only numbers.","Ключ URL сторінки не може складатися лише з цифр."
"The page URL key contains capital letters or disallowed symbols.","Ключ URL сторінки містить великі літери або заборонені символи."
"The page has been deleted.","Сторінку видалено."
"The parent product SKU is required for linking child products. Please ensure the parent product SKU is provided and try again.","Для зв'язування дочірніх товарів потрібен SKU батьківського товару. Переконайтеся, що його вказано, і спробуйте ще раз."
"The parent transaction ID must have a transaction ID.","Батьківський ID транзакції повинен містити ID транзакції."
"The password can not begin or end with a space.","Пароль не може починатися або закінчуватися пробілом."
"The password can't begin or end with a space.","Пароль не може починатися або закінчуватися пробілом."
"The password doesn't match this account.","Пароль не відповідає цьому обліковому запису."
"The password entered for the current user is invalid. Verify the password and try again.","Введений пароль недійсний. Перевірте пароль і спробуйте ще раз."
"The password reset token is incorrect. Verify the token and try again.","Токен для скидання пароля неправильний. Перевірте токен і спробуйте ще раз."
"The payer account cannot be used for this transaction.","Рахунок платника не можна використовувати для цієї транзакції."
"The payment currency doesn't match any of the merchant's balances currency.","Валюта платежу не збігається з жодною з валют балансу продавця."
"The payment disallows storing objects.","Платіж забороняє зберігати об’єкти."
"The payment eCheck is not cleared.","Електронний чек не очищено."
"The payment has been accepted.","Платіж прийнято."
"The payment has been denied.","Платіж відхилено."
"The payment has been voided.","Платіж анульовано."
"The payment is authorized but not settled.","Платіж авторизовано, але не завершено."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Платіж очікує, оскільки він був здійснений на електронну адресу, яка ще не зареєстрована або не підтверджена."
"The payment is pending while it is being reviewed by PayPal for risk.","Платіж очікує перевірки на ризики компанією PayPal."
"The payment method code is not set.","Код платіжного методу не встановлено."
"The payment method you requested is not available.","Обраний платіжний метод недоступний."
"The payment review action is unavailable.","Дія перегляду платежу недоступна."
"The payment token doesn't belong to the customer","Платіжний токен не належить клієнту."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Платіж здійснено кредитною карткою. Щоб отримати кошти, продавець має оновити обліковий запис до статусу Business або Premier."
"The priority must be between 0 and 1.","Пріоритет повинен бути між 0 та 1."
"The problems you identified have been deleted.","Проблеми, які ви виявили, видалено."
"The product can't be saved.","Не вдалося зберегти товар."
"The product does not exist.","Товар не існує."
"The product doesn't exist. Verify and try again.","Товар не існує. Перевірте його і спробуйте ще раз."
"The product has required options. Enter the options and try again.","Товар має обов'язкові опції. Введіть їх і спробуйте ще раз."
"The product instance type in options group is incorrect.","Тип екземпляра товару в групі опцій неправильний."
"The product that was requested doesn't exist. Verify the product and try again.","Запитуваного товару не існує. Перевірте його і спробуйте ще раз."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Запитуваного товару не існує. Перевірте його і спробуйте ще раз. ID рядка: SKU = %SKU, ID магазину: %storeId, Ціна від: %priceFrom, Ціна до: %priceTo."
"The product type filter specified is incorrect.","Вказаний фільтр типу товару неправильний."
"The product was not found.","Товар не знайдено."
"The product was unable to be saved. Please try again.","Не вдалося зберегти товар. Спробуйте ще раз."
"The product wasn't registered.","Товар не було зареєстровано."
"The product you chose is not associated with the selected store or category.","Обраний товар не пов'язаний із вибраним магазином або категорією."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","Обов'язкові опції товару не введено. Переконайтеся, що вони заповнені, і спробуйте ще раз."
"The qty value is required to update quote item.","Для оновлення елемента кошика потрібне значення кількості."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","Кількість для кредит-ноти не повинна перевищувати неповернену кількість для товару з SKU ""%1""."
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","Кількість для рахунку не повинна перевищувати невиставлену кількість для товару з SKU ""%1""."
"The quantity to refund must not be greater than the unrefunded quantity.","Кількість для повернення не повинна перевищувати неповернену кількість."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","Кількість для відправлення не повинна перевищувати невідправлену кількість для товару з SKU ""%1""."
"The reference ID is not set.","Ідентифікатор посилання (Reference ID) не встановлено."
"The refund action is not available.","Дія повернення коштів недоступна."
"The report displays the top 5 most viewed products for each interval.","Звіт показує топ-5 товарів за кількістю переглядів для кожного інтервалу."
"The requested Payment Method is not available.","Запитуваний платіжний метод недоступний."
"The requested Wish List doesn't exist.","Запитуваний список бажань не існує."
"The requested cart item doesn't exist.","Запитуваний елемент кошика не існує."
"The requested payment method is not available for multishipping.","Запитуваний платіжний метод недоступний для багатоадресної доставки."
"The requested qty exceeds the maximum qty allowed in shopping cart","Запитувана кількість перевищує максимально дозволену в кошику."
"The requested qty. is not available","Запитувана кількість недоступна."
"The requested sku is not assigned to given stock","Запитуваний SKU не призначено заданому запасу."
"The requested sku is not assigned to given stock.","Запитуваний SKU не призначено заданому запасу."
"The required option wasn't entered. Enter the option and try again.","Обов'язкову опцію не введено. Введіть її та спробуйте ще раз."
"The required options you selected are not available.","Вибрані вами обов'язкові опції недоступні."
"The return to stock argument contains product item that is not part of the original order.","Аргумент повернення на склад містить товар, якого немає у вихідному замовленні."
"The review has been deleted.","Відгук видалено."
"The review was removed by another user or does not exist.","Відгук видалено іншим користувачем або він не існує."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Ім'я відправника ""%1"" недійсне. Використовуйте лише видимі символи та пробіли."
"The sender name ""%1"" is not valid. The colon character is not allowed.","Ім'я відправника ""%1"" недійсне. Символ двокрапки не дозволено."
"The shipment confirmation email is not sent","Лист підтвердження відправлення не надіслано."
"The shipment confirmation email was sent","Лист підтвердження відправлення надіслано."
"The shipment contains product SKU ""%1"" that is not part of the original order.","Відправлення містить товар з SKU ""%1"", якого немає у вихідному замовленні."
"The shipment has been created.","Відправлення створено."
"The shipping method is missing. Select the shipping method and try again.","Відсутній спосіб доставки. Виберіть його та спробуйте ще раз."
"The shipping module is not available.","Модуль доставки недоступний."
"The sitemap ""%1"" has been generated.","Мапу сайту ""%1"" згенеровано."
"The source file moving process failed.","Не вдалося перемістити вихідний файл."
"The source is not set.","Джерело не встановлено."
"The source object is not specified.","Вихідний об'єкт не вказано."
"The specified Catalog media URL format is not supported.","Вказаний формат URL медіа каталогу не підтримується."
"The specified customer group id does not exist.","Вказаний ідентифікатор групи клієнтів не існує."
"The specified image adapter cannot be used because of: %1","Вказаний адаптер зображення не можна використовувати через: %1"
"The specified vehicle identification number (VIN) is invalid.","Вказаний ідентифікаційний номер транспортного засобу (VIN) недійсний."
"The start date can't follow the end date.","Дата початку не може бути після дати завершення."
"The static files cache has been cleaned.","Кеш статичних файлів очищено."
"The stock item for Product in option is not valid.","Елемент запасу для товару в опції недійсний."
"The stock item for Product is not valid.","Елемент запасу для товару недійсний."
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Код магазину може містити лише літери (a-z), цифри (0-9) або знак підкреслення (_), а перший символ має бути літерою."
"The store does not exist","Магазин не існує."
"The store view is not in the associated website.","Вигляд магазину не належить до пов'язаного веб-сайту."
"The store wasn't registered. Verify the store and try again.","Магазин не зареєстровано. Перевірте його і спробуйте ще раз."
